,Col 1
714,Metcon (Time); For Time:; 2 Rounds:; 500m Row; 50 Push-Ups
715,Metcon (Time); 40 DL 135/185; 40 T2B; 30 Power Clean 135/185; 30 T2B; 20 Snatch 135/185; 20 T2B; 10 Thrusters 135/185; 10 T2B
716,Metcon (Time); 5 Rounds; 5 Deadlifts (315/225); 10 Bar Facing Burpees
717,"Special Mary (Time); For time, all strict:; 5 handstand push-ups; 10 one-legged squats, alternating; 15 pull-ups; 10 handstand push-ups; 20 one-legged squats, alternating; 30 pull-ups; 15 handstand push-ups; 30 one-legged squats, alternating; 45 pull-ups; 10 handstand push-ups; 20 one-legged squats, alternating; 30 pull-ups; 5 handstand push-ups; 10 one-legged squats, alternating; 15 pull-ups"
718,"Metcon (AMRAP ? Rounds and Reps); 20 Minute Partner AMRAP; 150 Dumbell Snatch (75/50); Run 400m; 150 Burpees; Run 400m; 150 Toes To Bar; Run 400m; Divide up the reps however you choose. One person working at a time except you both must run each 400 together. If working alone, only do 75 reps."
719,Metcon (Time); For Time:; 100 Shoulder to Overhead (135/95); * Every time the bar is dropped perform 30 Squats *
720,Metcon (Time); 15-12-9; Squat Snatch (135/95); 100 Double Unders after each set
721,Metcon (Time); 5 Rounds; 30 Wall Ball Shots (20/14); 15 Pull Ups; 5 Dead Lifts (315/225)
722,Metcon (Time); For time:; 30-25-20-15-10; GHD Sit-Ups; Kettlebell Swings (1.5/1); 15:00 Cap; Metcon (Time); At 15:00; For time:; 40-30-20-10; Wallballs (20/14); 20-15-10-5; Burpee Box Jumps (24/20)
723,"Cameron (Time); For time:; 50 Walking lunge steps; 25 Chest to bar pull-ups; 50 Box jumps, 24?; 25 Triple-unders; 50 Back extensions; 25 Ring dips; 50 Knees to elbows; 25 Wallball ?2-fer-1s?, 20#; 50 Sit-ups; 5 Rope Climbs, 15?; In honor of U.S. Coast Guard Lieutenant Junior Grade Thomas Cameron, 24, of Portland, OR, died on February 28, 2012; To learn more about Cameron click here"
724,10k Run (Time); Max Effort 10k Run
725,Metcon (Time); 3 Rounds; 21 Deadlifts (185/115); 15 Front Squats (185/115); 9 Hang Cleans (185/115)
726,"Metcon (Time); 12 Days of Christmas !!!; 1 Deadlift (225/155); 2 Burpees; 3 Pull ups; 4 Push ups; 5 Toes to bar; 6 Shoulder to overhead (95/65); 7 Box Jumps; 8 Lunges; 9 Sit ups; 10 Ring Rows; 11 KB Swings (53/35); 12 Front Squats (135/95); * Do the movements like the song. 1 DL. 2 Burpees, 1 DL. 3 Pull ups, 2 Burpees, 1 DL?"
727,Metcon (AMRAP ? Rounds and Reps); 7 min Amrap; 7 Deadlifts (315/225); 14 SHSPU; Metcon (No Measure); Skill Work: Not for Time!; 5?10 Glute Ham Raises; 5?10 Ring Rows *; * Feet set on Bench or 24? box / Rings set where the top of the ring lines up with the hip crease.
728,Metcon (Time); For Time:; 50 Cal. Assault Bike; 100 Wall Ball Balls (30/20); 50 Cal. Assault Bike
729,Metcon (AMRAP ? Rounds and Reps); 10 Minute AMRAP; 30 Front Squats (135/95); 30 GHD Sit Ups; 90 Double Unders; Rest 2 mins; Metcon (Time); For Time:; 50 Burpees Over Bar
730,Metcon (Calories); 3 rounds; 2 min Row; ? 1 min Rest ?; 2 min Ski Erg; ? 1 min Rest ?; 2 min Assault Bike; ? 1 min Rest ?; * Scored by total calories *; Metcon (No Measure); Skill Work : ( Not for Time ); 5 rounds; 10 Shoulder Press (You pick the Weight); 10 Glute Ham Raises
731,Metcon (Weight); Every Min (10mins); 3 Power Snatch@75%; Metcon (AMRAP ? Rounds and Reps); 15 min Amrap; 60 Cal. Row; 40 Chest to Bars; 20 Burpee over rower
732,Metcon (Time); For Time:; 21-15-9; Shoulder to Overhead (185/125); 84-60-36; Double Unders
733,Metcon (Time); Teams of 2 (1:1); 5 rounds (each); 10 Bench Press (225/135); 20 Deadlifts (225/135); * Partner 1 goes through 1 round then partner 2. Continue until both have completed 5 rounds *
734,"Metcon (Time); 2K Row for time; Every minute complete:; Death by Thrusters (95/65); *At the 1-min mark get off the rower and do 1 thruster. At the 2-min mark get off the rower and complete 2 thrusters, and so on until you complete the 2K Row*; ? 15 min Time Cap ?; Metcon (No Measure); Skill:; 5?20 Hip Extensions"
735,Metcon (Time); For Time:; 30-25-20-15-10; Cal. Row; Hang Cleans (135/95)
736,Metcon (AMRAP ? Rounds); Every min (20 mins); Even min ? 15 Deadlifts (135/95); Odd min ? 15 Push ups; * Alternate each movement every minute until you complete 10 rds each *; Metcon (No Measure); Skill:; 10 rounds; 5 Strict Pull ups; 15 Sec. L-Sit Hold; * Not for Time *
737,Metcon (Time); 25-20-15-10-5; DB Snatch (Alt.) 75/50; 50-40-30-20-10; Box Jump Overs 24/20
738,Metcon (Time); 3 Rounds; 400m Run; 50 Wall Balls
739,300 Meter Row (10 Sets -30 Sec Rest) (10 Rounds for time); Row with 30 Sec Rest Between Intervals
740,Metcon (Time); For Time:; 10-8-6-4-2; Power Cleans (225/155); 21-18-15-12-9; Muscle Ups
741,Metcon (Time); For Time:; 30 Hang Squat Cleans (225/155); * Every time the bar is dropped perform 10 Bar Facing Burpees *
742,Metcon (Time); 7 rounds; 14 Bench Press (135/95); 14 Toes to bar; Time Cap: 15:00; Metcon (Time); @20:00; 3 rounds; 100 Double Unders; 10 Muscle Ups
743,Metcon (AMRAP ? Rounds and Reps); 10 min Amrap; 10 Pull ups; 10 Wall Balls
744,Metcon (3 Rounds for time); 3 Rounds:; 1000 M Row; Rest 2 Minutes after each round.; Metcon (No Measure); Skill: (not for time); 5 rounds; 10 GHD?s (20/14); 10 Strict Pull ups
745,Metcon (Time); 5 rounds; 10 Deadlift (165/115); 10 Front Squat (165/115); 10 Strict Handstand Push Ups; Time Cap: 15:00; -Rest 5:00-; Metcon (Time); 3 rounds; 30 GHD Sit Ups; 10 Muscle Ups
746,Metcon (AMRAP ? Rounds and Reps); 7 min Amrap; 7 Shoulder to Overhead (185/115); 49 Double Unders
747,Metcon (Time); For Time:; 100 Burpee Pull Ups
748,Metcon (Time); 4 Rounds; 28 Pistols; 15 Power Cleans (115/80)
749,Metcon (Time); 2 RFT:; 50 DU?s; 40 Cal Row; 30 DB Snatch 75/50; 20 HSPU
750,Metcon (Time); For Time:; 45 Deadlifts (275/185); 45 Bar Facing Burpees
751,"Barraza (AMRAP ? Rounds and Reps); 18 Minute AMRAP of:; 200m Run; 9 Deadlifts, 275#; 6 Burpee Bar Muscle-ups; In honor of U.S. Army Staff Sergeant Ricardo Barraza, 24, of Shafter, CA, died on March 18, 2006; To learn more about Barraza click here"
752,"EMOM, 7 minutes:; 2 Jerks @ 75-85%, should be all makes"
753,Death by 50' Lateral Shuffle
754,"Rest 5mins from #1 and get to 65% on Split Jerk:; EMOM, 6 minutes:; 3 Split Jerks (For form/footwork) @ 65%"
755,"EMOM, 13 minutes:; First 6min: 3 Snatch (Floor) 65-70%; || Take 1min off to change weights ||; Second 6min: 4-Pos SNDL @ 90-100%"
756,"For time:; EMOM, 8 minutes: 1 Back Squat @ 90% (build if desired)"
757,"EMOM, 5 minutes:; 2 Squat Snatches @ 75, 80, 85% x 3"
758,"AMRAP, 10 minutes; 5 Power Clean; (135/95); 10 Push-up; 15 Air Squat"
759,"EMOM, 12 minutes:; Odd - 12 Burpee Touch Jumps; Even - 20 Jumping Lunges"
760,"EMOM, 6 minutes:; 2 Squat Snatch (55-65%); *Deload/Form Work"
761,"EMOM, 6 minutes:; 5 Speed Front Squats (55-65%)"
762,"For time:; Go over MU Transitions for 5-10minutes, have everyone spend some time working them (feet on floor, bands, feet on box, etc. but try to have them dip out) - Beginning of MU work"
763,"EMOM, 6 minutes:; 5 Speed Back Squats (55-65%)"
764,"EMOM, 6 minutes; 2 Snatch Pulls (100%)"
765,"EMOM, 8 minutes:; 1 Snatch; - Start at 75% and work up no higher than 90%; - should be all makes"
766,"EMOM, 6 minutes:; 3 Squat Cleans @ 65-75%"
767,"EMOM, 6 minutes:; 2 FS @ 85%"
768,"EMOM, 24 minutes:; 1) 5DL @ 70%; 2) 12 AD Cals/Row; 3) 15 Wall-Balls"
769,"AMRAP, 12 minutes:; Partner Workout; 20 Air Squats (Each); 10 Alternating Curtis P's; -First Round is 95/65; -Second round is 115/75; -Third 135/85; -Fourth and Beyond is 155/95"
770,"EMOM, 21 minutes:; 1) Max UB Set of T2B/Knee-Ups; 2) 15 KBS (70/53/35); 3) 50 DU (Scale to 10 Shoot Thrus"
771,Fran; For Time:; 21-15-9; Thrusters (95/65); Pullups
772,50 KBS; 50 Goblet Squat Walking Lunges; 50 KBS for time (70/53/35
773,"AMRAP, 3 minutes:; Alternating Dumbbell Snatch (AHAP)"
774,"AMRAP, 12 minutes:; 3 Snatches (115/75); 6 OHS; 3 Rope Climbs/9 Dips; (Athletes must choose whichever station is open, i.e. if all ropes are full, must Ring dip, if all dips are full must rope climb)"
775,"Strength Superset:; EMOM, 14 minutes:; Odd - 3-5 BW Power Cleans (all singles); Even - Max UB Set of Ring Dips (Strict)"
776,"EMOM, 20 minutes:; Odd: 3 Strict Press (75%); Even: 15 Squat Thrust (Burpee w/ no push up and a full squat)"
777,"EMOM, 8 minutes:; 30 DUs (20 Touch Jumps); 3-6 Strict Pull-ups"
778,"AMRAP, 8 minutes:; 6 Thrusters (135/95); 12 Burpees over Bar; 24 Double Unders"
779,For Time:; Run 400M; 20 Double Dumbbell Squat Cleans (55/35); Run 400M; 15 Dumbbell Squat Cleans; Run 400M; 10 Dumbbell Squat Cleans; Run 400M; 5 Dumbbell Squat Cleans
780,OHS Warm-Up; then; EMOM 2 OHS w/ 2s Pause at 50-60%
781,With a team of 2 complete:; 50 alternating D&B Relay Sprints; EMOM both partners complete 3 Wall-Climbs
782,"EMOM, 12 minutes:; Odd - 30s HS Hold / 5 HSPU (Head to ground) / 15ft walk + 5 HSPU,; Even: 4 Technical TGU (Go Over)"
783,"AMRAP, 5 minutes:; (w/ final weight from #1):; 10 DL; 10 Burpees over Bar"
784,"EMOM, 5 minutes:; 3 HSPU and 10 Air Squats"
785,"EMOM, 12 minutes:; Snatch + Hang Snatch + OHS @ 70%"
786,"EMOM, 18 minutes:; Odd - 15 Wall-Balls; Even: 20 Double Unders (30 Singles) + 10 Hollow Rocks"
787,"AMRAP, 8 minutes:; 5 Curtis P's (95/65); 10 Weighted Sit-ups"
788,"5-4-3-2-1 reps, for time of:; Bear Complex, 115/75 lbs; Lateral Burpee (Over Barbell); Lateral Burpee (Over Barbell"
789,"For time:; 50 Dumbbell Hang Squat Cleans, 110/70 lbs; 50 Dumbbell Front Squats, 110/70 lbs; 100 Double Unders; 50 Dumbbell Overhead Squats, 55/35 lbs; 50 Dumbbell Thrusters, 110/70 lbs; (Partners"
790,Row 5 km; (Teams); *This is an all out effort for time
791,Death By Squat Clean
792,"For 10 cycles:; AMRAP in 1 min of:; 5 Curtis Ps, 106/70 lbs; Kettlebell Swing, 53/35 lbs"
793,"3 rounds for time of:; 10 Ground To Overheads, 95/65 lbs; Shuttle Run, 200 ft"
794,"30-20-10 reps, for time of:; One Arm Dumbbell Snatch (Alternating), 55/35 lbs; Box Jump, 24/20 in"
795,"3 rounds for time of:; 20 One Arm Dumbbell Snatch (Alternating)s, 55/35 lbs; 40 Double Unders; 2 Rope Climbs"
796,"5 rounds for time of:; 10 Overhead Walking Lunge With Plates, 45/35 lbs; 15 Bumper Plate Ground To Overheads, 45/35 lbs"
797,"3 rounds for time of:; Row, 200 m; Run, 400 m"
798,"For time:; 75 Wall Balls, 20/14 lbs; *Every break add 5 additional reps"
799,"For time:; 25 Shoulder-to-Overheads, 95/65 lbs; 50 Kettlebell Swings, 53/35 lbs; 100 Mountain Climbers; 50 Kettlebell Swings, 53/35 lbs; 25 Shoulder-to-Overheads, 95/65 lbs"
800,"For time:; 80 Burpees; Run, 800 m; 60 Air Squats; Run, 600 m; 40 Pull-ups; Run, 400 m; 20 Handstand Push-ups; Run, 200 m"
801,"CrossFit Games Regional 12.3; 4 rounds for time of:; 10 Dumbbell Snatch (One Arm)s, 100/70 lbs; Sprint, 200 ft"
802,"5 rounds for time of:; Shuttle Sprint, 150 ft; 3 Power Cleans, 155/105 lbs; 3 Push Jerks, 155/105 lbs; 3 Power Cleans, 155/105 lbs; (Partners"
803,"15-12-9 reps, for time of:; Bear Complex, 45/35 lbs; Knees To Elbow"
804,"15-12-9 reps, for time of:; One Arm Dumbbell Snatch (Alternating), 55/35 lbs; V-ups"
805,"10 rounds for time of:; 10 Axle Bar Push Press, 115/75 lbs; 10 Pull-ups; (Partners)"
806,"4 rounds for time of:; 10 Broad Jumps; 10 Back Squats, 155/105 lbs"
807,"3 rounds for time of:; 12 Row (calories)s; 6 Burpee Over Rowers; Sled Push, 75 lbs, 100 ft; (Teams of 3)"
808,"For 4 cycles:; AMRAP in 2 mins of:; 3 Hang Squat Snatches, 95/65 lbs; 10 V-ups; *Rest 1 min between each cycle. For each cycle restart the AMRAP."
809,"4 rounds, each round for time, of:; 15 Push Press, 75/55 lbs; 30 Double Unders; 15 Front Squats, 75/55 lbs; *Rest 1 min between each round."
810,4 rounds for time of:; 5 Wall Climbs; 25 Walking Lunges
811,For time:; 30 Shoulder Touches
812,Each for time:; Run: 3x 800 m; *Rest 1:1 between efforts.
813,"Nancy; 5 rounds for time of:; Run, 400 m; 15 Overhead Squats, 95/65 lbs"
814,"5 rounds for time of:; 5 Hang Power Cleans, 135/85 lbs; 5 Push Jerks, 135/85 lbs"
815,"Brenton; 5 rounds for time of:; Bear Crawl, 100 ft; Standing Broad Jump, 100 ft; *Do three Burpees after every five broad-jumps. If you've got a twenty pound vest or body armor, wear it."
816,"343; For time:; 100 Walking Lunges (Each Leg); 80 Kettlebell Swings, 53/35 lbs; 60 Wall Balls, 20/14 lbs, 10/9 ft; 40 Chest-to-bar Pull-ups; 20 Deadlifts, 275/175 lbs; 43 Burpees"
817,"For time:; 200 Axle Bar Clean & Jerks, 115/75 lbs; Run, 4 mi; (Team)"
818,"For time:; Row, 5 km; *EMOM Run, 200 m; (Team)"
819,"4 rounds, each round for time, of:; Run, 400 m; 15 Hollow Rocks; *Rest 2 mins between each round."
820,"For time:; 50 Burpee Box Jumps, 20/24 in"
821,"4 rounds for time of:; 10 Sandbag Ground To Overheads, 50/40 lbs; Sandbag Run, 50/40 lbs, 400 m; 10 Sandbag Ground To Overheads, 50/40 lbs; Rest; (Partner"
822,"5 rounds for time of:; 7 Push Press, 135/95 lbs; 9 Toes-to-bars"
823,"For 5 cycles:; AMRAP in 2 mins of:; 16 Kettlebell Swing (Russian)s, 62/44 lbs; 8 Single Arm Kettlebell Thrusters, 62/44 lbs; *Rest 1 min between each cycle. For each cycle restart the AMRAP."
824,"For time:; Row, 4 km; 400 Double Unders; 40 Sled Pushes, 120/75 lbs, 50 ft; (Team)"
825,"The Chief; For 5 cycles:; AMRAP in 3 mins of:; 3 Power Cleans, 135/95 lbs; 6 Push-ups; 9 Air Squats; *Rest 1 min between each cycle. For each cycle restart the AMRAP"
826,"4 rounds for time of:; Run, 400 m; 20 Wall Balls, 20/14 lbs, 10/9 ft; 10 Pull-ups"
827,"For time:; Tire Flip, 300 lbs, 200 ft; (Teams)"
828,"For 6 cycles:; AMRAP in 1 min of:; 12 Wall Balls, 20/14 lbs, 11/10 ft; 24 Kettlebell Swing (Russian)s, 70/53 lbs; *Rest 1 min between each cycle. For each cycle restart the AMRAP."
829,Flight Simulator; For time:; 5 Double Unders (Unbroken)s; 10 Double Unders (Unbroken)s; 15 Double Unders (Unbroken)s; 20 Double Unders (Unbroken)s; 25 Double Unders (Unbroken)s; 30 Double Unders (Unbroken)s; 35 Double Unders (Unbroken)s; 40 Double Unders (Unbroken)s; 45 Double Unders (Unbroken)s; 50 Double Unders (Unbroken)s; 45 Double Unders (Unbroken)s; 40 Double Unders (Unbroken)s; 35 Double Unders (Unbroken)s; 30 Double Unders (Unbroken)s; 25 Double Unders (Unbroken)s; 20 Double Unders (Unbroken)s; 15 Double Unders (Unbroken)s; 10 Double Unders (Unbroken)s; 5 Double Unders (Unbroken)s
830,"12 rounds for time of:; 15 Sandbag Ground To Overheads, 50/40 lbs; 15 Sandbag Squats, 50/40 lbs; (Team)"
831,"2010 Northwest Regional Event 1; 3 rounds for time of:; 10 Overhead Squats, 135/95 lbs; 50 Double Unders"
832,"Freddy Kreuger; 21-15-9 reps, for time of:; Kettlebell Swing; Burpee"
833,"15-12-9-6-3 reps, for time of:; One Arm Dumbbell Snatch (Alternating), 65/45 lbs; Toes-to-bar"
834,"Grace; For time:; 30 Clean & Jerks, 135/95 lbs"
835,"21-18-15-12-9-6-3 reps, for time of:; Kettlebell Swing, 53/35 lbs; Push-up"
836,"3 rounds for time of:; 7 Push Press, 155/105 lbs; 50 Double Unders; 15 Toes-to-bars"
837,Each for time:; Run: 3x 400 m; *Perform at 80% effort. Rest 1 min between efforts.
838,10 rounds for time of:; 2 Wall Climbs; 1 Rope Climb
839,"For time:; 100 Double Unders; 50 Air Squats; 25 Push Press, 95/65 lbs; -- then --; 2 rounds of:; 60 Double Unders; 30 Air Squats; 15 Push Press, 95/65 lbs; -- then --; 3 rounds of:; 40 Double Unders; 20 Air Squats; 10 Push Press, 95/65 lbs"
840,"For time:; Dumbbell Farmers Carry, 130/90 lbs, 200 m; -- then --; 2 rounds of:; 20 One Arm Dumbbell Snatch (Alternating)s, 65/45 lbs; 20 V-ups; -- then --; Dumbbell Farmers Carry, 130/90 lbs, 200 m"
841,"For time:; 60 Weighted Step-ups, 50/30 lbs, 20/16 in; EMOM - 10 Ground To Overheads, 50/30 lbs"
842,"10-8-6-4-2 reps, for time of:; One Arm Dumbbell Snatch (Alternating), 65/45 lbs; Strict Pull-up"
843,"15 rounds for time of:; Sled Push, 75 lbs, 100 m; (Team)"
844,Death By - Burpees : 2 reps + 2 reps / 1 min
845,"4 rounds for time of:; 8 Deadlifts, 185/125 lbs; 16 Wall Balls, 20/14 lbs, 10/9 ft"
846,"For time:; 30 Box Dips; 25 Wall Ball (2 For 1)s, 20/14 lbs, 10/9 ft; 20 Box Dips; 15 Wall Ball (2 For 1)s, 20/14 lbs, 10/9 ft; 10 Box Dips; 5 Wall Ball (2 For 1)s, 20/14 lbs, 10/9 ft"
847,"Helen; 3 rounds for time of:; Run, 400 m; 21 Kettlebell Swings, 1.5/1 pood; 12 Pull-ups"
848,"DT; 5 rounds for time of:; 12 Deadlifts, 155/105 lbs; 9 Hang Power Cleans, 155/105 lbs; 6 Push Jerks, 155/105 lbs"
849,"For time:; 70 Burpees; 60 Sit-up (standard)s; 50 Kettlebell Swings, 1.5 pood; 40 Pull-ups; 30 Handstand Push Ups"
850,"Arnold Sectional 2010 WOD 2; 5 rounds for time of:; 7 Deadlifts, 225/155 lbs; 11 Burpees; *Perform with a weight vest througout 30/15 lbs."
851,"For time:; 30 Handstand Push Ups; 40 Pull-ups; 50 Kettlebell Swings, 53/35 lbs; 60 Sit-up (abmat)s; 70 Burpees"
852,10 min AMRAP; 10 Wall Balls; 10 Burpees; 16/12 #
853,21-15-9; Power Snatch / TTB; 65/45 #
854,15 min AMRAP; 30 KB Swings 70/53 #; 1 Rope Climb; 10 Pistols; KB-53/35 #
855,10 Rounds; 30 on 30 off; Max Effort Burpees
856,12 minute cap; 21-15-9; Deadlift 225/155 #; 400 m Run after each round; 165/105 #
857,20 Man Makers 35/25#; 1 Mile Run; 8 Rope Climbs; 1 Mile Run; 75 Burpees
858,"10-8-6-4-2; A-Squat Snatch 85/55 #; B-Double Unders; Then switch (10-10, 8-8, etc)"
859,21 MIN; Min 1-1-2 rope climbs; Min 2-10 KB Swings 53/35#; Min 3-3 Deadlifts-work to heavy
860,Max Plank Hold
861,S-6 MIN ON-3 MIN OFF
862,For Time; 3 Rounds; 8 HSPU; 16 KBS 53/35 #
863,For Time; 75 Burpees
864,5 x 30 sec Rock Holds
865,15 min time cap; 75 Burpee Pull-ups
866,500 M Row for time
867,4 Rounds; 20 Burpees; 8 Power Cleans 95/65 #; EMOM 7 Wall Balls 16/12 #
868,50:40:30:20:10; 30:25:20:15:10; DUs/WB-16/12 #
869,10 Power Snatch 75/55 #; 10 TTB
870,5 min AMRAP; 10 Push-Ups; 10 V-Ups
871,5 Min Clock; Max Wall Sit; * Every time you break you must; do 5 Burpees
872,4 Rounds; 15 Power Snatches 75/55 #; 15 TTB
873,12 min AMRAP; 10 KBS; 20 Sit-ups; 30 DUs; 53/35 #
874,Buy in: 70 DUs; ? then ?; 21~15~9; OHS 75/55 #; Push Jerk 75/55 #; ? then ?; Cash out: 70 DUs
875,800 m run (Time); ..then..; 3 RFT; 10 KBS; 10 Pistols each leg; 10 Box jump over; (Time); ?then?; 800 m run; (Time); KB 53/35 #; Box 24/20?
876,For Time; 15 | 12 | 9 | 6 | 3; Clean & Jerk; Box Jump Overs; 115/75 #; 24/20?
877,7 Rounds; 1 min Max Cal Row; 1 min Max Knees to Elbows; Rest 1 minute
878,8 min AMRAP; 15 DUs EMOM; Max push-ups remainder of minute
879,10 minute clock; C: EMOM-5 KTE and; Max Front Squat -95/65 #-in remaining time
880,10 minute clock; ODD: Max Sit-Ups; EVEN: Max Pull-Ups
881,"?The Chief?; 5 rounds:; 3 min on, 1 min rest; 3 Power Cleans; 6 Push-Ups; 9 Air Squats; 95/65 #"
882,5 Rounds; 5 Power Snatches; C:135/95#; P: 95/65#; F: Choice#; 10 HSPU; *EMOM-Burpees!!; C: 6 Burpees; P: 5 Burpees; F: 4 Burpees; * START with BURPEES!!!
883,Time Trial; 1 Mile Run
884,10 min; Buy in: 50 weighted sit-ups; C: 45/25; P: 25/15 #; F: Regular Sit-Ups; ~ then ~; AMRAP; 7 Pull-ups; 14 Calorie Row
885,1: ?FRAN?; 21 ~ 15 ~ 9; Thrusters; Pull-Ups; 75/45 #
886,-12 min AMRAP; 200 m Run; 30 DUs
887,"!; 4 Rounds; 21 Back Squats 135/95 #; 400 m Run; * One partner works at a time,; Must complete entire round; * 4 Rounds Each; 115/75 #"
888,5 RFT; 5 RFT; 30 DUs; 10 Pull-ups; 10 OHS @ 75/55 #
889,15~12~9~6~3; TTB; Power Clean 95/65 #; *EMOM-6 Wall Ball 16/12 #
890,5 RFT; 8 Front Squat @ 135/95 #; 8 Box Jump Overs @ 24/20?; 200 m Run; * Front Squat from ground
891,10 ?-> 1; HSPU; SDHP 75/55 #
892,8 x 250 m Row; Rest 1 min between rounds
893,15 min AMRAP; 10 TTB; 15 KBS 53/35 #; 20 Wall Balls 16/12 #
894,21 ~ 15-9; Hang Power Clean @95/65 #; Wall Ball @ 20/16 #; Burpees
895,5 RFT; 20 Wall Ball 16/12 #; 200 m Run; 10 Burpees; 10 Box Jumps 24/20?; 200 m Run; 20 KBS 35/25 #
896,Buy-in-60 DUs; ? 3 Rounds ?; 10 OHS @ 95/95 #; 15 Pull-Ups; Cash out: 60 DUs
897,21~15~9; Hang Squat Clean @ 95/65 #; Box Jumps @ 24/20?
898,Teams of 3: (Teams of 4); 50 m sled push 90/45 #; * Each person does 3 pushes up & back.; 240 DUs. (320); 160 Air Squats. (220); 80 TTB. (110); * 1 person working at a time; 3K Row (4K); * 250 m intervals
899,?HELEN?-3 Rounds; 35/25 #
900,4 min AMRAP *3 Rounds*; 5 Pull-ups; 10 Box Jumps 24/20?; 15 Wallballs 16/12#; Rest 1 minute
901,?CINDY?; 20 min AMRAP; C/P: 5 Pull-Ups; 10 Push-ups; 15 Air Squats
902,800 m Run (Together); 80 Box Jumps 24/20?; 600 m Run; 60 Partner Sit-ups; 400 m Run; 40 Power Cleans 95/65 #
903,4 Rounds; 9 HSPU; 12 Power Cleans 95/65 #; 35 DUs
904,For Time; 400 m Run; 20 Burpees; 4 Rope Climbs; 400 m Run; 15 Burpees; 3 Rope Climbs; 400 m Run; 10 Burpees; 2 Rope Climbs; 400 m Run; 5 Burpees; 1 Rope Climbs
905,From Ground?; 100 Back Squats for Time-95/65 #; Every time you drop the bar?; 8 TTB
906,"3 Rounds, each for Time; 30 DUs; 10 Pull-ups; 10 OHS @ 95/65 #; Rest 2 minutes"
907,5 Rounds EACH for time!; 1 Partner works; 1 Partner rests; 205/155 #
908,135/95# Thrusters; 24/20? Box Jumps
909,AMRAP 8 min; 10 STO 85/55 #; 10 Pull-ups
910,50-40-30-20-10; KB 35/25 #; Double Unders
911,For Time; 1 Mile Air Dyne; 100 DU; 2 Mile Run; 1K Row
912,1K Row; Rest 3 Minutes; 2 ~ 2 ~ 2 ~ 2 ~ 2 Rope Climbs; 20 ~ 16 ~ 12 ~ 8 ~ 4 Weighted Sit-Ups 45/25 #
913,2 Rounds of a 6 min AMRAP; 6 Burpees; 9 HSPU; 12 WallBall 16/14 #; ~~~~~; Rest 1 minute between rounds.
914,8 RFT; 8 TTB; 20 Back Rack Walking Lunge Steps 95/65 #; 200 m Run
915,"# 2-Partner Sleds for Time; Accumulate 12, 25 m Sled Sprints; 90/45 #"
916,apalooza.com/; -Corey
917,5 Rounds for time; Run 400 m; 12 Back Squats 135/95 #; 1 Rope Climb
918,"( 6 People ):; 200m Run; 20 Box Jumps (C: 30/24, P: 24/20); 20 Burpees; 20 KBS (C: 70/53, 53/35); 50 DUs (P: 30 DUs); 250m Row; You will work in pairs for this workout with one person working at a time in relay style. The first pair will start with one partner running 200m, then the second partner runs 200m. Then they move on to box jumps where the first partner will complete 20 box jumps, then the second partner completes 20 box jumps. They move on completing the work in this fashion. When the first pair FINISHES the box jumps, the second pair can start the run. When the second pair FINISHES their box jumps, the third pair can start their runs! When the third pair finishes the row, the workout is over!"
919,4 RFT; 20 Box Jump Overs 24/20?; 20 Hang Power Cleans 75/55#; 20 Burpees
920,?HELEN?; 3 Rounds for time; 400 m Run; 21 KBS @ 35/25#; 12 Pull -Ups in band
921,For Time-18 min Cap; 1 K Row; 50 Wall Balls 16/12 #; 40 Box Jumps 24/20?; 30 Burpees
922,7 Rounds; 1 min on / 1 min off; 5 Front Squats; 150 ft Sprint; Max HSPU; 95/65 #
923,21 MIN PARTNER AMRAP; 7 Thrusters; 7 Pull-ups; 7 Burpees; * Partners alternate rounds-score is total rounds; 65/45 #
924,?KELLY?; WB @ 16/12#
925,6 Rounds; Every 4 Minutes; 250 m Row; 15 DL 185/135 #
926,10 min AMRAP; 50 DUs; 50 Push Press 65/45 #
927,3 Rounds for Time; C/P: 500 m Row; 30 Box Jumps 24/20?; Rest 1 Minute!; Sprint Rounds!!!
928,TEAMS OF 2-Alternate Rounds; 14 Min AMRAP; 12 Burpees; 6 Ring Dips (scaled)
929,12 MIN AMRAP; * Ladder by ones; C/P: 1 Box Jump 24/20?; 2 TTB; 3 Box Jumps; 4 TTB; ?etc?
930,5 RFT; 10 min Cap; 10 Shoulder to Overhead 75/55 #; 20 Double Unders
931,2 RFT (with partner); 75/55 #
932,FOR TIME; 21 ~ 15 ~ 9; Power Cleans; Wall balls; Burpees; 115/75 #; 20/14 #
933,3 MIN AT EACH STATION; Station 1: Samson Stretch; Station 2: Barbell Smash Quad; Station 3: Banded Lat Stretch
934,4 RFT; 200 M Run; 10 Power Snatches; 65/45#
935,10 ?> 1; Box Jump Overs 24/20?; Hand Release Push-Ups; Weighted Sit-Ups 25/15#
936,(3 PEOPLE); 6 Rope Climbs; 3K Row (250m intervals); 90 STO 75/55#; 3K Row (250m intervals)
937,?FILTHY 50?-30 min time cap; 40 Box Jumps 24/20?; 40 Jumping Pull-ups; 40 KBS 35/25#; 40 Walking Lunge Steps; 40 KTE; 40 Push Press 45#; 40 Good Mornings 45#; 40 Wall Ball 16/12#; 150 Singles
938,21~15~9~15~21; KBS-35/25#; Box Jumps-24/20#
939,3 RFT; 9-7-5; Deadlifts 155/105 #; Banded Pistols; Rest 1 Min
